id_orden_municip,id_nodo_prbd,nomenclatura_redgto,nombre_nodo,tipo_nodo,ip_nodo,rango_nodo,clave,fecha_operacion_nodo,id_comunidad,comunidad,id_comunidad_inegi,id_municipio,municipio,longitud,latitud,clave_nodo,direccion,codigo_postal
163,1,REDGTO-SAL-MO-00001,Cárdenas,Publico,10.0.14.5,192.168.5,NP-SAL-110270043-01,2013,6798,Cárdenas,110270043,1027,Salamanca,20.6.270.409,-1.012.189.026,2,"Calle Benito Juárez, El Fuerte, 36877 Salamanca, GUA, México",36877
164,2,REDGTO-SAL-MO-00002,Unión de Liebres,Publico,10.0.5.1,10.0.5,NP-SAL-110270236-01,2013,6940,Unión de Liebres (Las Conejas),110270236,1027,Salamanca,20.6425018,-101.1829987,2,"Calle Benito Juárez, Union De Liebres, 36873 Salamanca, GUA, México",36873
165,3,REDGTO-SAL-MO-00003,Recuerdo de Ancón,Publico,10.0.6.3,192.168.6,NP-SAL-110270118-01,2013,6860,El Recuerdo de Ancón (Xoconoxtle de Arriba),110270118,1027,Salamanca,20.6386299,-101.1295929,2,"Calle Diagonal Emiliano Zapata 3, Miguel Fernandez, 36863 Salamanca, GUA, México",36863
166,4,REDGTO-SAL-MO-00004,Santo Domingo,Publico,10.0.7.3,192.168.7.1,NP-SAL-110270147-01,2013,6884,Santo Domingo,110270147,1027,Salamanca,20.5153008,-101.2278900,2,"Calle Emiliano Zapata 1, Santo Domingo, 36878 Salamanca, GUA, México",36878
167,5,REDGTO-SAL-MO-00005,Cerro Gordo,Publico,10.0.8.3,192.168.8,NP-SAL-110270046-01,2013,6800,Cerro Gordo (San Rafael),110270046,1027,Salamanca,20.5934296,-101.1260986,2,"Avenida Salamanca-Juventino Rosas 5A, Cerro Gordo, 36860 Salamanca, GUA, México",36860
168,6,REDGTO-SAL-MO-00006,Valtierrilla,Publico,10.0.9.1,10.0.9,NP-SAL-110270160-01,2013,6895,Valtierrilla,110270161,1027,Salamanca,20.5286007,-101.1298065,2,"Calle Plaza de la Revolución 469, 36883 Valtierrilla, GUA, México",36883
169,7,REDGTO-SAL-MO-00007,Colonia 4 de Altamira,Publico,10.0.12.3,0192.12.3,NP-SAL-110270181-01,2013,6911,Colonia el Cuatro de Altamira,110270181,1027,Salamanca,20.4856100,-101.1657900,2,"Calle Revolución 20, Col Cuatro De Altamira, 36886 Salamanca, GUA, México",36886
170,8,REDGTO-SAL-MO-00008,Valencia (Salamanca),Publico,10.0.13.3,10.0.13,NP-SAL-110270159-01,2013,6893,Valencia de Cerro Gordo,110270159,1027,Salamanca,20.6021996,-101.0823212,2,"Calle Obregón 26, Valencia, 36867, GUA, México",36867
33,9,REDGTO-COR-MO-00009,La Minilla,Publico,10.0.40.3,10.0.142,NP-COR-110110031-01,2014,2694,La Minilla,110110031,1011,Cortazar,20.4228802,-100.8929062,2,"Calle Francisco Villa, 38498, GUA, México",38498
34,10,REDGTO-COR-MO-00010,Centro Cultural Cortazar,Publico,10.0.41.3,192.168.41,NP-COR-110110001-01,2014,2671,Cortazar,110110001,1011,Cortazar,20.4888706,-100.9620590,2,"Escuela Secundaria Ing. Antonio Madrazo, Calle Melchor Ocampo 101, Centro, 38300 Cortazar, GUA, México",38300
35,11,REDGTO-COR-MO-00011,Tierra Fría,Publico,10.0.42.3,192.42.10,NP-COR-110110054-01,2014,2713,Tierra Fría,110110054,1011,Cortazar,20.4613609,-101.0397568,2,"Calle México 2, Tierra Fria, 38494, GUA, México",38494
36,12,REDGTO-COR-MO-00012,El Diezmo,Publico,10.0.43.3,192.43.3,NP-COR-110110015-01,2014,2680,El Diezmo,110110015,1011,Cortazar,20.4284592,-101.0159073,2,"Calle Francisco Villa 102, El Diezmo, 38493, GUA, México",38493
37,13,REDGTO-COR-MO-00013,Galeras,Publico,10.0.44.1,10.0.44,NP-COR-110110018-01,2014,2683,Galeras,110110018,1011,Cortazar,20.4266109,-100.9868393,2,"Calle Leona Vicario, Galeras De Cortazar, 38493, GUA, México",38493
38,14,REDGTO-COR-MO-00014,La Gavia,Publico,10.0.45.2,10.0.45,NP-COR-110110019-01,2015,2684,La Gavia,110110019,1011,Cortazar,20.3971806,-100.8837204,2,"Calle Miguel Hidalgo 101A, La Gavia, 38498, GUA, México",38498
315,15,REDGTO-VLG-MO-00015,San Isidro Cerro Gordo,Publico,10.0.30.3,10.0.30,NP-VLG-110440036-01,2015,10738,San Isidro Cerro Gordo,110440036,1044,Villagran,20.5418091,-101.0591812,2,"Privada San Isidro, San Isidro Cerro Gordo, 38273, GUA, México",38273
